source_id,distance_to_subway,lat,lng,id
315677849,1.328289,53.188557,50.180296,315677849
315681247,4.559546,53.244941,50.189396,315681247
315682211,2.251752,53.232966,50.251847,315682211
315678257,9.46512,53.144479,50.043096,315678257
315682580,2.506211,53.233694,50.295146,315682580
315678656,2.567885,53.233592,50.298074,315678656
315683157,0.405477,53.208872,50.281671,315683157
315683826,5.243987,53.259164,50.234096,315683826
315680267,5.753208,53.259261,50.210533,315680267
315680366,5.208239,53.259358,50.239962,315680366
315683831,0.509651,53.20343,50.182039,315683831
315688803,0.792488,53.20981,50.162662,315688803
315689558,1.007791,53.21146,50.164953,315689558
315690153,3.629003,53.239035,50.216085,315690153
315692977,7.393073,53.278288,50.267379,315692977
315694529,-1.0,53.310344,50.284788,315694529
315695872,0.775749,53.205954,50.183242,315695872
315695879,0.670015,53.199719,50.151891,315695879
315696100,1.032421,53.22102,50.151972,315696100
315696154,-1.0,53.306395,50.283144,315696154
315696172,3.974879,53.248492,50.25191,315696172
315697216,3.607511,53.244386,50.236036,315697216
315697638,0.33133,53.210765,50.244876,315697638
315698138,0.342506,53.200091,50.204497,315698138
315698803,0.638351,53.207081,50.143851,315698803
315699145,7.578533,53.152364,50.072723,315699145
315699807,6.056962,53.262908,50.212887,315699807
315699996,1.379041,53.211822,50.183997,315699996
315701482,7.578533,53.152364,50.072723,315701482
315701834,8.356584,53.147779,50.063201,315701834
315702151,2.459193,53.186906,50.134949,315702151
315702355,8.38426,53.286687,50.223613,315702355
315702650,7.123895,53.136409,50.169292,315702650
315704735,3.401397,53.242775,50.238192,315704735
315705979,-1.0,53.323594,50.313516,315705979
315705986,0.931846,53.191999,50.174385,315705986
315707109,0.464982,53.196941,50.201505,315707109
315708447,-1.0,53.119335,50.082892,315708447
315709233,1.437284,53.214399,50.1701,315709233
315709251,1.384702,53.223684,50.155727,315709251
315711122,1.114788,53.197038,50.146861,315711122
314193770,5.718213,56.359808,43.815678,314193770
314193799,1.98888,56.346896,43.874069,314193799
314193964,3.232515,56.334403,43.842619,314193964
314193972,0.870156,56.321376,43.997336,314193972
314194069,1.992212,56.310887,44.025686,314194069
314194073,1.708029,56.313738,43.894982,314194073
314194078,2.254545,56.293547,43.994012,314194078
314194088,1.851407,56.307257,44.021428,314194088
314194116,0.845096,56.326852,43.93846,314194116
314194124,2.73247,56.290165,44.005834,314194124
314194161,3.528896,56.268286,43.976432,314194161
314194162,3.528896,56.268286,43.976432,314194162
314194175,2.413461,56.292328,43.988532,314194175
314194193,3.436952,56.331768,43.83934,314194193
314194194,1.851407,56.307257,44.021428,314194194
314194200,0.550099,56.305659,43.936672,314194200
314194202,1.435946,56.257053,43.929279,314194202
314194210,0.919741,56.285213,43.942709,314194210
314194248,4.548547,56.23518,43.963119,314194248
314194251,3.411929,56.319619,44.048055,314194251
314194258,4.756739,56.302163,44.067871,314194258
314194312,1.71488,56.315455,44.021473,314194312
314194316,1.994237,56.30889,44.024914,314194316
314194319,2.335049,56.319325,44.030322,314194319
314194324,3.92201,56.255097,43.973297,314194324
314194328,3.705859,56.33298,43.834929,314194328
314194330,0.952783,56.294426,43.951162,314194330
314194345,5.182015,56.237792,43.979271,314194345
314195750,0.29607,56.279052,43.922344,314195750
314198155,1.842173,56.324186,44.01709,314198155
314198772,4.756739,56.302163,44.067871,314198772
314207497,1.205886,56.343912,43.937867,314207497
314210462,0.838242,56.335475,43.936044,314210462
314218589,4.530831,56.242074,43.971931,314218589
314221144,1.018428,56.321621,43.985406,314221144
314221900,2.66238,56.332242,43.851836,314221900
314240518,0.980777,56.34265,43.940966,314240518
314247356,4.084312,56.344292,43.831857,314247356
314250089,2.190182,56.268636,43.869002,314250089
314259091,1.816063,56.229206,43.876036,314259091
314259101,3.104799,56.285918,43.99279,314259101
314260032,4.388096,56.30448,43.846392,314260032
314260349,1.012557,56.303591,43.924042,314260349
314260666,1.584484,56.259883,43.863738,314260666
314263093,1.272873,56.312545,44.014368,314263093
314263574,1.454688,56.340021,43.927689,314263574
314263578,6.213976,56.285998,44.08096,314263578
314263583,0.685756,56.263062,43.897748,314263583
314263584,4.230676,56.236031,43.957989,314263584
314263586,3.466945,56.300829,44.044848,314263586
314268445,0.229212,56.30897,43.93952,314268445
314276812,1.214989,56.231893,43.85091,314276812
314292301,0.312974,56.310238,43.942251,314292301
314297625,2.332631,56.314387,43.878471,314297625
314297975,0.941112,56.269881,43.930959,314297975
314307166,2.950567,56.35347,43.863981,314307166
314363549,2.683942,56.323163,44.033888,314363549
314366045,6.519868,56.361703,43.802671,314366045
314367632,0.228479,56.310153,43.940841,314367632
314367633,3.235277,56.284819,43.99005,314367633
314369382,0.915228,56.328579,43.930061,314369382
314369720,0.997603,56.332975,43.933995,314369720
314385437,0.742286,56.330415,43.920709,314385437
314409002,5.816936,56.273795,44.054352,314409002
314409004,3.309498,56.320128,44.046177,314409004
314418829,1.235227,56.321905,43.980304,314418829
314418862,1.800974,56.23447,43.832369,314418862
314421834,2.523229,56.330156,43.854432,314421834
314422169,2.00324,56.322794,43.868499,314422169
314422170,1.078691,56.306098,43.98334,314422170
314426266,0.826245,56.270366,43.929037,314426266
314430827,5.779641,56.287622,44.074546,314430827
314439963,1.00189,56.249136,43.848027,314439963
314448149,4.270273,56.309654,43.840445,314448149
314477387,5.741703,56.271496,44.046959,314477387
314484445,1.436004,56.34285,43.910361,314484445
314489099,2.895064,56.294061,44.024375,314489099
314491706,4.724915,56.293507,44.060963,314491706
314494405,3.649994,56.311147,44.052708,314494405
314497699,2.126444,56.225528,43.875174,314497699
314499026,1.119114,56.313503,43.975848,314499026
314499027,4.323548,56.233009,43.95586,314499027
314499941,0.547461,56.294151,43.939053,314499941
