source_id,distance_to_subway,id
315361709,1.737286,315361709
315361941,0.956781,315361941
315364700,4.857982,315364700
315370290,1.586027,315370290
315382213,5.851074,315382213
315385973,5.405743,315385973
315396904,1.217946,315396904
315400152,2.833521,315400152
315409660,0.250852,315409660
315417723,0.711241,315417723
315418448,1.723942,315418448
315429318,3.012095,315429318
315430465,1.965075,315430465
315434209,2.825349,315434209
315435040,1.852193,315435040
315437784,2.561428,315437784
315439734,1.259534,315439734
315439759,0.785735,315439759
315446682,0.946855,315446682
315447598,1.050784,315447598
315456657,4.279149,315456657
315457364,0.92615,315457364
315478425,2.87101,315478425
315486660,1.271477,315486660
315487224,0.152735,315487224
315506004,0.342171,315506004
315529491,5.948907,315529491
315532735,1.417924,315532735
315532737,3.044372,315532737
315533875,2.714214,315533875
315538192,1.323856,315538192
315544709,8.181835,315544709
315548184,0.734882,315548184
315551598,2.4361,315551598
315551682,4.595162,315551682
315551714,1.075125,315551714
315561782,1.965075,315561782
315561790,4.397795,315561790
315571149,5.73212,315571149
315612918,1.04999,315612918
315614876,1.992752,315614876
315642495,3.015805,315642495
315649259,4.336783,315649259
315680920,0.355466,315680920
315683505,5.743949,315683505
315693047,1.190554,315693047
315694018,0.932207,315694018
315698957,1.746948,315698957
315700336,-1.0,315700336
315700805,1.7863,315700805
315702796,2.190182,315702796
315702909,1.589449,315702909
315705775,1.82175,315705775
315706207,0.966188,315706207
315709140,1.976727,315709140
315712173,4.939083,315712173
315712623,0.34082,315712623
315713081,1.406583,315713081
315713188,0.481496,315713188
315714916,1.498846,315714916
315715979,3.317144,315715979
315719581,1.35284,315719581
315728426,2.72681,315728426
315753602,4.024397,315753602
315754796,2.789411,315754796
315754859,4.532472,315754859
315796096,1.919026,315796096
315797254,3.751462,315797254
315805287,3.198161,315805287
315805691,0.732114,315805691
315808741,4.32907,315808741
315813124,4.345359,315813124
315828068,2.012468,315828068
315847773,1.579256,315847773
315848511,1.660221,315848511
315854397,2.447488,315854397
315860000,1.518303,315860000
315863852,3.318271,315863852
315863874,3.81466,315863874
315863882,4.409703,315863882
315866567,5.455606,315866567
315867500,5.683331,315867500
315871162,2.955186,315871162
315872335,0.169249,315872335
315872858,2.534863,315872858
315873384,0.619172,315873384
315874672,0.658015,315874672
315886297,5.203117,315886297
315897184,3.657868,315897184
315902686,2.371916,315902686
315903503,1.351323,315903503
315910027,1.56251,315910027
315937269,1.495632,315937269
315938388,0.195981,315938388
315939519,2.154243,315939519
315940821,4.576769,315940821
315953985,0.842525,315953985
315963260,0.97437,315963260
315970626,2.292226,315970626
315972202,4.336783,315972202
315972571,1.465855,315972571
315972831,5.780676,315972831
315976758,6.332534,315976758
315979345,4.469777,315979345
315982205,5.556597,315982205
316007373,3.840175,316007373
316011166,5.06296,316011166
316012051,3.104799,316012051
316023387,0.719284,316023387
316032432,6.250153,316032432
316037682,4.258544,316037682
316039112,3.5302,316039112
316057821,1.208677,316057821
316063263,0.645695,316063263
316065848,0.32734,316065848
316067946,3.845588,316067946
316068229,5.837615,316068229
316070718,3.509554,316070718
316072265,0.278164,316072265
316072277,0.967675,316072277
316073959,0.795513,316073959
316073971,6.80439,316073971
316079123,2.397548,316079123
316080944,2.022314,316080944
316081042,1.772453,316081042
316081045,1.772453,316081045
316082616,0.232186,316082616
316083436,0.387162,316083436
316088838,1.221294,316088838
316111197,3.499425,316111197
316115281,1.719287,316115281
316116560,3.64134,316116560
316124297,0.874965,316124297
316127021,5.24373,316127021
316130495,1.157646,316130495
316158886,2.377952,316158886
316161785,4.998597,316161785
316161827,1.582073,316161827
316162239,5.669889,316162239
316164935,3.921682,316164935
316167481,4.367784,316167481
316169475,3.924877,316169475
316179699,0.424343,316179699
316179704,0.424343,316179704
316185967,2.352474,316185967
316208724,6.921141,316208724
316209632,2.168579,316209632
316237693,2.945659,316237693
316249410,3.815898,316249410
316259681,2.461801,316259681
316266887,1.119114,316266887
316266958,1.324733,316266958
316268229,1.608172,316268229
316268877,0.890847,316268877
316269615,1.872885,316269615
316270942,3.311656,316270942
316272860,4.756739,316272860
316273020,5.849787,316273020
316273022,2.168579,316273022
316273033,1.638963,316273033
316273172,0.941112,316273172
316274992,0.88961,316274992
316275486,5.455606,316275486
316278689,4.743276,316278689
316279912,1.138818,316279912
316280183,3.79991,316280183
316281144,5.354581,316281144
316281147,4.903596,316281147
316285529,2.951568,316285529
316293914,5.754966,316293914
316296603,3.946444,316296603
316309470,6.827233,316309470
316311647,2.714214,316311647
316312409,3.723578,316312409
316314607,1.444562,316314607
316315495,7.296394,316315495
316315580,6.063312,316315580
316317576,8.814403,316317576
316317727,0.39426,316317727
314066476,-1.0,314066476
316318557,2.293318,316318557
314087254,2.546965,314087254
314106675,-1.0,314106675
316319231,3.917023,316319231
316321965,1.306386,316321965
314113539,4.758291,314113539
316322753,2.312244,316322753
314114729,3.81999,314114729
316324396,1.328114,316324396
314120213,-1.0,314120213
316324503,1.36168,316324503
314141656,2.520356,314141656
316329729,2.358423,316329729
314145663,2.699923,314145663
316329734,0.492043,316329734
314150244,4.574912,314150244
316329736,3.030261,316329736
314153707,6.968967,314153707
316329739,1.826456,316329739
314186213,0.588438,314186213
316384113,0.732703,316384113
316340837,0.387162,316340837
314186219,0.588438,314186219
314215642,6.05142,314215642
316344943,3.865976,316344943
316384122,0.732703,316384122
314221879,0.355158,314221879
316384644,0.385179,316384644
316360328,9.471953,316360328
314223009,4.089685,314223009
316360400,9.471953,316360400
314253284,0.865625,314253284
316361801,8.025716,316361801
316387024,1.386237,316387024
314255086,2.444741,314255086
316364750,0.637815,316364750
316391415,2.009318,316391415
314268418,1.251262,314268418
316367899,1.265102,316367899
316391425,1.436005,316391425
314271030,9.827415,314271030
316369859,6.252068,316369859
316410687,0.403296,316410687
314273567,2.520356,314273567
316370344,4.762612,316370344
316412201,2.327902,316412201
314285467,-1.0,314285467
316412455,2.85383,316412455
314291397,1.560803,314291397
316373834,1.687485,316373834
316413328,1.918441,316413328
314299678,2.289801,314299678
316374612,5.219444,316374612
316418402,0.948398,316418402
316381705,1.373546,316381705
314308804,1.3181,314308804
316418408,0.710361,316418408
312973877,0.558692,312973877
316381734,6.718843,316381734
314318273,2.029572,314318273
316419726,1.231464,316419726
312976228,2.1586,312976228
314324159,-1.0,314324159
316420331,4.319583,316420331
312984500,0.842525,312984500
314336440,0.722581,314336440
316392909,2.800372,316392909
316420409,1.360162,316420409
312992172,4.231741,312992172
314356101,2.806793,314356101
316425458,-1.0,316425458
316395164,1.00476,316395164
312992174,0.935045,312992174
316425629,3.633441,316425629
316413134,2.674649,316413134
312995229,0.449696,312995229
314397896,1.020275,314397896
316426143,3.037614,316426143
312995887,4.382431,312995887
316415825,4.177444,316415825
314417670,6.667364,314417670
316426147,-1.0,316426147
316418379,1.800116,316418379
312995892,2.190182,312995892
314423711,-1.0,314423711
313019157,3.509291,313019157
316431475,1.20868,316431475
316418826,5.672665,316418826
313023370,8.820519,313023370
316431916,1.268945,316431916
314436936,4.485629,314436936
316418864,1.272218,316418864
313035383,4.975555,313035383
316432108,2.674827,316432108
314436941,8.38379,314436941
316420082,0.319573,316420082
314446714,4.332688,314446714
316433145,3.131502,316433145
316422255,4.975555,316422255
316433157,0.635713,316433157
313054379,0.931615,313054379
314474983,0.524303,314474983
316422258,4.975555,316422258
316445694,8.142257,316445694
314497534,2.283004,314497534
313063991,4.156136,313063991
316446264,0.497067,316446264
314506834,2.386666,314506834
316424736,5.319079,316424736
316455386,0.776522,316455386
